"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060034482","55896","5091"
"T20060034516","36983","9445"
"T20060034543","40289","5442"
"T20060034719","48154","9197"
"T20060034736","53022","101189"
"T20060034791","29592","9519"
"T20060034801","40913","5671"
"T20060034826","46295","5073"
"T20060034827","45952","9274"
"T20060034833","10850","9416"
"T20060034869","793","1000"
"T20060034869","793","6086"
"T20060034917","19317","4009"
"T20060034933","37678","100907"
"T20060034945","37282","9340"
"T20060034959","42768","6281"
"T20060034972","47545","6921"
"T20060035083","55907","103841"
"T20060035136","1175","6546"
"T20060035153","206445","8504"
"T20060035188","35636","1022"
"T20060035228","536","5263"
"T20060035238","232716","5327"
"T20060035238","232716","106090"
"T20060035291","36221","9233"
"T20060035342","29950","7765"
"T20060035366","36093","100910"
"T20060035392","49883","100242"
"T20060035400","44601","8816"
"T20060035410","41116","9559"
"T20060035438","42282","101044"
"T20060035460","37872","9098"
"T20060035471","49990","7715"
"T20060035518","52690","2174"
"T20060035520","42440","104754"
"T20060035529","43044","8980"
"T20060035570","29416","9375"
"T20060035589","43852","102035"
"T20060035682","43748","8731"
"T20060035716","41973","5812"
"T20060035750","45879","5938"
"T20060035774","43053","8982"
"T20060035790","55916","1109"
"T20060035848","49325","4221"
"T20060035871","56498","8899"
"T20060035914","36230","9314"
"T20060035975","35391","105428"
"T20060036015","56233","100457"
"T20060036073","51145","3172"
"T20060036167","44317","9599"
"T20060036170","41527","103500"
"T20060036214","47884","5523"
"T20060036254","906","6647"
"T20060036285","206571","5416"
"T20060036312","49649","7597"
"T20060036419","35638","102085"
"T20060036491","713","5957"
"T20060036592","55362","1130"
"T20060036704","119","9473"
"T20060036748","41779","5866"
"T20060037050","46278","5884"
"T20060037065","1316","8715"
"T20060037066","42819","6400"
"T20060037287","39777","5269"
"T20060037324","49683","1003"
"T20060037421","52850","104311"
"T20060037504","42815","6381"
"T20060037515","40772","5679"
"T20060037530","50704","7998"
"T20060037595","29710","6284"
"T20060037609","57472","9401"
"T20060037650","238159","103952"
"T20060037651","371","9470"
"T20060037702","35408","9510"
"T20060037740","1172","6535"
"T20060037842","131892","6379"
"T20060037859","44193","5003"
"T20060037863","42123","101320"
"T20060037879","29667","5814"
"T20060037922","41894","5818"
"T20060037938","38482","5050"
"T20060037985","45938","9328"
"T20060038009","43037","102225"
"T20060038091","37702","5528"
"T20060038130","41635","5811"
"T20060038145","55573","101083"
"T20060038152","42146","6172"
"T20060038195","899","6573"
"T20060038286","234871","8816"
"T20060038293","14111","102678"
"T20060038294","33879","1002"
"T20060038299","36407","105625"
"T20060038320","44621","8911"
"T20060038337","12256","8913"
"T20060038376","52933","2330"
"T20060038415","83","9299"
"T20060038419","206755","103583"
"T20060038440","29627","5459"
"T20060038563","36529","6314"
"T20060038592","3053","101320"
"T20060038597","10592","1000"
"T20060038713","37297","8969"
"T20060038761","58068","9577"
"T20060038765","39715","5163"
"T20060038776","41366","5894"
"T20060038817","29387","9395"
"T20060038857","45572","100058"
"T20060038867","29464","9498"
"T20060038875","793","1000"
"T20060038875","793","6086"
"T20060038936","40620","5654"
"T20060038984","39521","5330"
"T20060039003","57521","5623"
"T20060039009","37894","9038"
"T20060039037","29813","9115"
"T20060039040","52770","2248"
"T20060039049","40612","5543"
"T20060039114","38688","9300"
"T20060039175","71201","6495"
"T20060039179","49034","102966"
"T20060039189","42859","8822"
"T20060039199","40894","5517"
"T20060039225","44433","8966"
"T20060039267","35687","9089"
"T20060039354","41713","5715"
"T20060039389","49800","7664"
"T20060039431","15430","7805"
"T20060039466","83","9299"
"T20060039494","45322","9065"
"T20060039546","37235","9084"
"T20060039571","38483","5051"
"T20060039606","50095","7753"
"T20060039747","53345","7976"
"T20060039752","41152","103439"
"T20060039766","39492","5194"
"T20060039775","36983","9445"
"T20060039870","52826","101220"
"T20060039889","29592","9519"
"T20060040003","43287","6470"
"T20060040047","39728","8941"
"T20060040088","57544","100891"
"T20060040100","73111","6822"
"T20060040108","40942","5603"
"T20060040133","49968","7707"
"T20060040145","43367","1022"
"T20060040155","1323","8758"
"T20060040166","29372","9209"
"T20060040168","206893","9205"
"T20060040183","39557","5303"
"T20060040184","44081","6864"
"T20060040206","55960","7805"
"T20060040276","36321","6197"
"T20060040308","50981","100361"
"T20060040323","41933","5759"
"T20060040357","53325","1202"
"T20060040451","39558","5308"
"T20060040488","35687","9089"
"T20060040519","43772","8861"
"T20060040523","1323","8758"
"T20060040526","35784","7781"
"T20060040547","73449","1009"
"T20060040566","35562","5864"
"T20060040655","42197","6153"
"T20060040657","55216","5494"
"T20060040667","42744","6221"
"T20060040686","55964","104655"
"T20060040692","42744","6221"
"T20060040718","52494","1024"
"T20060040725","39492","5194"
"T20060040817","55965","1204"
"T20060040835","43431","6696"
"T20060040993","58780","3064"
"T20060040997","35532","5593"
"T20060041088","36556","104544"
"T20060041092","42746","6207"
"T20060041102","56014","2356"
"T20060041120","1322","8744"
"T20060041151","119","9473"
"T20060041155","15406","7725"
"T20060041165","55632","4027"
"T20060041180","43143","6272"
"T20060041249","54051","1240"
"T20060041340","52445","1177"
"T20060041501","83","9299"
"T20060041619","29416","9375"
"T20060041646","55630","6662"
